date,TweetVolumeDaily,ln_tweetsDaily,H_daily,meanAbsPolarityDaily,meanPolarityDaily,meanSubjectivityDaily,stdAbsPolarityDaily,stdPolarityDaily,stdSubjectivityDaily,pressConf,month,EconBulletin,speechOtherBoard,speechPresident,n,n2,MonPolAccounts,tweetECB,whatever,dow,dec24,dec25,dec26,dec31,jan01,may01,may09,nov01,oct03,easterSun,easterMon,goodfriday,goodsat,ascension,whitMon,corpus,F1_pressConf,F2_pressConf,F3_pressConf,F4_pressConf,F5_pressConf,L1_pressConf,L2_pressConf,L3_pressConf,date_2
24mar2012,6,2.0794415,.16666667,.475,.1416666666666667,0,.4394598957811736,.6314115579838205,0,0,3,0,0,0,84,7056,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
25mar2012,45,3.9512436,.022222223,.0188888888888889,-.0188888888888889,0,.1252947143023151,.1252947143023151,0,0,3,0,0,0,85,7225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
26mar2012,47,3.9512436,.033952013,.3361702127659574,.2574468085106383,.0106382978723404,.3615425179757009,.421241670591842,.0721524466289922,0,3,0,1,1,86,7396,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
27mar2012,26,3.3322046,.03846154,.1980769230769231,.1980769230769231,.1346153846153846,.2991914646917233,.2991914646917233,.2217800498975153,0,3,0,1,0,87,7569,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
28mar2012,10,2.3025851,.1,.11,-.04,.05,.2374868417407583,.2586503431275513,.15,0,3,0,0,0,88,7744,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
29mar2012,4,1.6094379,.25,.25,.25,.25,.4330127018922193,.4330127018922193,.4330127018922193,0,3,0,0,0,89,7921,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
30mar2012,3,1.0986123,.33333334,0,0,0,0,0,0,0,3,0,0,0,90,8100,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90
31mar2012,1,0,1,0,0,0,0,0,0,0,3,0,0,0,91,8281,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91
01apr2012,6,2.0794415,.16666667,0,0,0,0,0,0,0,4,0,0,0,92,8464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,92
02apr2012,3,1.0986123,.33333334,.6999999999999998,-.2333333333333333,0,1.11022302463e-16,.6599663291074443,0,0,4,0,0,0,93,8649,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,93
03apr2012,7,1.9459101,.18367349,.4285714285714285,-.4285714285714285,0,.4948716593053935,.4948716593053935,0,0,4,0,0,0,94,8836,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94
04apr2012,131,4.9628448,.016957054,.3274809160305344,.2694656488549618,.0076335877862595,.4452983278441995,.4826205706683178,.0870362919923006,1,4,0,0,0,95,9025,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
05apr2012,31,3.4339871,.034339227,.1741935483870968,.1290322580645161,0,.3609733632702484,.3794678348280585,0,0,4,0,0,0,96,9216,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,96
06apr2012,5,2.0794415,.2,.2,-.2,.2,.4000000000000001,.4000000000000001,.4000000000000001,0,4,0,0,0,97,9409,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,97
07apr2012,5,1.6094379,.2,.14,-.14,0,.28,.28,0,0,4,0,0,0,98,9604,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,98
08apr2012,2,.69314718,.5,0,0,0,0,0,0,0,4,0,0,0,99,9801,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
09apr2012,1,0,1,0,0,0,0,0,0,0,4,0,0,0,100,10000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100
10apr2012,1,.69314718,1,0,0,0,0,0,0,0,4,0,0,0,101,10201,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
11apr2012,6,1.7917595,.27777779,0,0,0,0,0,0,0,4,1,1,0,102,10404,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
12apr2012,12,2.4849067,.083333336,.0583333333333333,.0583333333333333,.0833333333333333,.1934697794373983,.1934697794373983,.2763853991962833,0,4,0,1,0,103,10609,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
13apr2012,9,2.4849067,.13580248,.1166666666666666,.0388888888888889,.0555555555555556,.2333333333333333,.2579597059165311,.1571348402636772,0,4,0,0,0,104,10816,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
14apr2012,22,3.3672957,.045454547,.0454545454545455,.0454545454545455,0,.2082988952252656,.2082988952252656,0,0,4,0,0,0,105,11025,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
